"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 26 00:58:46 MSK 2026","Sat Sep 26 00:58:47 MSK 2026","1029","","tests.OrderCreateTest","","tests.OrderCreateTest","createOrderWithoutAuth","Создание заказа без авторизации",""
"passed","Sat Sep 26 00:58:57 MSK 2026","Sat Sep 26 00:58:58 MSK 2026","1006","","tests.UserLoginTest","","tests.UserLoginTest","loginExistingUser","Вход под существующим пользователем",""
"passed","Sat Sep 26 00:58:54 MSK 2026","Sat Sep 26 00:58:54 MSK 2026","57","","tests.UserCreateTest","","tests.UserCreateTest","createUserWithoutEmail","Создание пользователя без email","Проверка, что нельзя создать пользователя без email"
"passed","Sat Sep 26 00:58:55 MSK 2026","Sat Sep 26 00:58:56 MSK 2026","1005","","tests.UserLoginTest","","tests.UserLoginTest","loginWithWrongPassword","Вход с неверным паролем",""
"passed","Sat Sep 26 00:58:54 MSK 2026","Sat Sep 26 00:58:54 MSK 2026","67","","tests.UserCreateTest","","tests.UserCreateTest","createUserWithoutPassword","Создание пользователя без password","Проверка, что нельзя создать пользователя без password"
"passed","Sat Sep 26 00:58:39 MSK 2026","Sat Sep 26 00:58:45 MSK 2026","6487","","tests.OrderCreateTest","","tests.OrderCreateTest","createOrderWithAuth","Создание заказа с авторизацией",""
"passed","Sat Sep 26 00:58:54 MSK 2026","Sat Sep 26 00:58:54 MSK 2026","63","","tests.UserCreateTest","","tests.UserCreateTest","createUserWithoutName","Создание пользователя без name","Проверка, что нельзя создать пользователя без name"
"passed","Sat Sep 26 00:58:52 MSK 2026","Sat Sep 26 00:58:53 MSK 2026","1009","","tests.OrderCreateTest","","tests.OrderCreateTest","createOrderWithoutIngredients","Создание заказа без ингредиентов",""
"passed","Sat Sep 26 00:58:47 MSK 2026","Sat Sep 26 00:58:52 MSK 2026","4789","","tests.OrderCreateTest","","tests.OrderCreateTest","createOrderWithIngredients","Создание заказа с ингредиентами",""
"passed","Sat Sep 26 00:58:45 MSK 2026","Sat Sep 26 00:58:46 MSK 2026","1117","","tests.OrderCreateTest","","tests.OrderCreateTest","createOrderWithInvalidHash","Создание заказа с неверным хешем ингредиентов",""
"passed","Sat Sep 26 00:58:53 MSK 2026","Sat Sep 26 00:58:54 MSK 2026","890","","tests.UserCreateTest","","tests.UserCreateTest","createUniqueUser","Создание уникального пользователя","Проверка, что можно создать пользователя с уникальными данными"
"passed","Sat Sep 26 00:58:54 MSK 2026","Sat Sep 26 00:58:55 MSK 2026","915","","tests.UserCreateTest","","tests.UserCreateTest","createDuplicateUser","Создание пользователя, который уже зарегистрирован","Проверка, что нельзя создать пользователя с существующими данными"
"passed","Sat Sep 26 00:58:56 MSK 2026","Sat Sep 26 00:58:57 MSK 2026","926","","tests.UserLoginTest","","tests.UserLoginTest","loginWithWrongEmail","Вход с неверным email",""
